SITE.ID	sed	temp
WMTP99-0729-2-1	1.406707 	 6  
WMTP99-0745-2-1	1.757324 	 6.3
WMTP99-0749-2-1	1.156347 	10.3
WNDP99-0505-0-1	1.804447 	24.5
WNDP99-0507-0-1	1.715682 	19.8
WNDP99-0508-0-1	1.842431 	18.9
WNDP99-0508-0-2	1.842431 	19.7
WNDP99-0508-1-1	1.484639 	20.4
WNDP99-0529-0-1	1.882172 	19.1
WNDP99-0539-0-1	1.942834 	17.6
WNDP99-0605-1-1	1.64204  	23.3
WNDP99-0617-1-1	1.830375 	23.7
WNDP99-0633-1-1	1.830375 	25.1
WNDP99-0648-2-1	1.928445 	20.5
WNDP99-0655-2-1	1.918579 	22.1
WNDP99-0676-2-2	1.85991  	22.4
WNDP99-0685-2-1	1.377618 	17.5
WNDP99-0703-2-1	1.824219 	26.3
WNDP99-R002-0-1	1.789623 	18.2
WNDP99-R004-0-1	1.750031 	17.7
WNDP99-R008-0-1	1.828313 	12.7
WNVP99-0503-0-1	0.6821021	10.7
WNVP99-0514-0-1	1.210535 	13.7
WNVP99-0516-0-1	1.632505 	12.9
WNVP99-0519-0-1	1.830375 	12.5
WNVP99-0520-0-1	1.156347 	13.2
WNVP99-0521-0-1	1.876713 	19.2
WNVP99-0522-0-1	1.341482 	16.2
WNVP99-0555-1-1	1.727386 	27  
WNVP99-0556-1-1	1.876713 	22  
WNVP99-0557-1-1	1.470872 	16.4
WNVP99-0561-1-1	1.559165 	16  
WNVP99-0562-1-1	1.750031 	19.5
WNVP99-0566-1-1	1.798684 	13  
WNVP99-0570-1-1	1.470872 	21  
WNVP99-0570-1-2	1.547599 	22.4
WNVP99-0570-2-1	1.640665 	16  
WNVP99-0570-2-2	1.551638 	21.4
WNVP99-0573-1-1	1.892889 	17.3
WNVP99-0576-1-1	1.824219 	 7.3
WNVP99-0577-1-1	1.535716 	12.5
WNVP99-0608-2-1	1.854161 	28  
WNVP99-0612-2-1	0.6294982	 8  
WNVP99-0615-2-1	1.258706 	21.9
WNVP99-0617-2-1	0.5862657	12.8
WNVP99-0617-2-2	0.6821021	12.9
WNVP99-0620-2-1	1.796147 	 9  
WNVP99-0627-2-1	1.523134 	17  
WNVP99-0634-2-1	1.022173 	 8  
WNVP99-0663-2-1	1.022173 	18.5
WNVP99-0668-2-1	1.126487 	14.6
WNVP99-0670-2-1	1.678215 	19.3
WNVP99-0673-2-1	1.098244 	14.5
WNVP99-0674-2-1	1.488659 	12.4
WNVP99-0677-2-1	1.599616 	18  
WNVP99-0679-2-1	1.779479 	11  
WNVP99-0681-2-1	0.5713912	12.4
WNVP99-0683-2-1	1.184286 	 8.5
WNVP99-0686-2-1	1.85991  	24  
WNVP99-0687-2-1	1.771552 	17.9
WORP99-0503-0-1	0.8269998	 6.4
WORP99-0505-0-1	1.441957 	15.5
WORP99-0508-0-1	1.122049 	16.4
WORP99-0510-0-1	1.164353 	12.4
WORP99-0511-0-1	1.474888 	13.7
WORP99-0512-0-1	1.341482 	 7.7
WORP99-0515-0-1	1.28289  	 5.4
WORP99-0518-0-1	0.7605661	10  
WORP99-0522-0-1	1.302063 	20.6
WORP99-0523-0-1	1.484639 	13.8
WORP99-0529-0-1	1.220762 	 9.2
WORP99-0530-0-2	1.078783 	 8.9
WORP99-0530-1-1	0        	 6.5
WORP99-0530-1-2	1.678215 	 8.9
WORP99-0541-0-1	0        	12.6
WORP99-0547-0-1	1.85991  	14.3
WORP99-0548-0-1	1.89815  	15.1
WORP99-0551-0-1	1.126487 	 8.9
WORP99-0554-0-1	0.9294189	15.6
WORP99-0559-0-1	1.488659 	17.7
WORP99-0559-0-2	1.43276  	14.7
WORP99-0605-0-1	0.8882227	11.7
WORP99-0606-0-1	0.9354593	28.5
WORP99-0607-0-1	1.108157 	13  
WORP99-0608-0-1	1.314419 	16  
WORP99-0608-0-2	0.9069116	11  
WORP99-0619-0-1	1.524168 	10.6
WORP99-0622-0-1	1.247155 	11  
WORP99-0625-0-1	1.033581 	13  
WORP99-0630-0-1	0.9153426	25.5
WORP99-0657-1-1	0        	11.6
